,epoch,train_time,train_loss,train_acc,valid_time,valid_loss,valid_acc,total time
0,1,90.85759242204949,1.6267455149365146,0.4133577641752577,0.2911889827810228,1.3952581810951232,0.5066,90.85759242204949
1,2,90.63913983292878,0.8891516324761564,0.6838555090206185,0.29257084568962455,1.1248276471138001,0.6191,90.63913983292878
2,3,90.27263198792934,0.6763558094845796,0.7637725515463918,0.2940745069645345,0.6822687894821167,0.7639,90.27263198792934
3,4,91.62599234981462,0.5597915421480063,0.805553318298969,0.29676965717226267,0.7103844835639,0.7518,91.62599234981462
4,5,92.6646744562313,0.496618405697368,0.829212306701031,0.2993728509172797,0.5523788975119591,0.8075,92.6646744562313
5,6,92.32776924688369,0.44027528196534854,0.8497100515463918,0.29341407492756844,0.5536649664640426,0.8049,92.32776924688369
6,7,92.9331098771654,0.388566139828625,0.8686976481958762,0.2905302247963846,0.55441063195467,0.8082,92.9331098771654
7,8,93.8279017158784,0.35011509559885357,0.881604381443299,0.2944090007804334,0.4962019682884216,0.8276,93.8279017158784
8,9,91.63735387707129,0.32764688492320554,0.8889940399484536,0.2954083941876888,0.510041877412796,0.831,91.63735387707129
9,10,92.03022435121238,0.29555133691768054,0.8999677835051546,0.29102939274162054,0.6963864139318466,0.7794,92.03022435121238
10,11,92.029610064812,0.277014353442169,0.9060285115979382,0.29089189413934946,0.544190601503849,0.8222,92.029610064812
11,12,92.32614303007722,0.25664478227419335,0.9131362757731959,0.29072743793949485,0.5742735952615738,0.8108,92.32614303007722
12,13,92.75495800981298,0.22960830844708324,0.9232442010309279,0.2989788712002337,0.3547507737636566,0.8817,92.75495800981298
13,14,92.17162040900439,0.20928855770574786,0.9298485824742269,0.2896705539897084,0.3589466831445694,0.8821,92.17162040900439
14,15,91.94053399795666,0.18288955933980874,0.9390705541237113,0.29970163106918335,0.29161728607416154,0.8999,91.94053399795666
15,16,92.52475006785244,0.15996245473872908,0.9485140141752577,0.29300876008346677,0.30196221594810485,0.9004,92.52475006785244
16,17,93.11479925410822,0.1339048305598385,0.9576755798969072,0.2914930381812155,0.28785004692077637,0.9034,93.11479925410822
17,18,94.7227439028211,0.10068746180676845,0.9694346005154639,0.29444950819015503,0.23983590319156647,0.9238,94.7227439028211
18,19,94.66029497887939,0.07904594655379116,0.9776900773195877,0.2906150338239968,0.2081146154999733,0.9283,94.66029497887939
19,20,93.9521966218017,0.06007806676651169,0.9847978414948454,0.29721035109832883,0.19414680730104447,0.9349,93.9521966218017
