,epoch,train_time,train_loss,train_acc,valid_time,valid_loss,valid_acc,total time
0,1,90.59043064992875,1.626062522843941,0.4157337306701031,0.29532579611986876,1.1803026733398438,0.5714,90.59043064992875
1,2,91.3229030938819,0.8835264490773306,0.6858287693298969,0.29457112308591604,1.2625556388497352,0.6031,91.3229030938819
2,3,90.74967307504267,0.666001902302708,0.7672559600515464,0.28862213203683496,0.9290952620744706,0.6974,90.74967307504267
3,4,90.97534496197477,0.56579475136733,0.8052110180412371,0.2960830912925303,0.597385820388794,0.789,90.97534496197477
4,5,91.89521514810622,0.48775280637128915,0.8313869201030928,0.29307082993909717,0.67288033233881,0.7669,91.89521514810622
5,6,90.6189448540099,0.4333452240890372,0.8518645296391752,0.29679456865414977,0.6446979994535447,0.7804,90.6189448540099
6,7,90.72678620088845,0.386885429302845,0.8673485824742269,0.2946891160681844,0.4368484400868416,0.8511,90.72678620088845
7,8,91.2563843340613,0.3444089614642189,0.8831346649484536,0.29633299401029944,0.6220901527166367,0.7868,91.2563843340613
8,9,91.12768992781639,0.32379604309086796,0.8911082474226805,0.29173630801960826,0.4698726946115494,0.8424,91.12768992781639
9,10,90.39315167209134,0.29792284375757516,0.9003704896907216,0.29892319487407804,0.46570177628993986,0.8436,90.39315167209134
10,11,90.04624970909208,0.27278192719377425,0.9084447487113402,0.28645145474001765,0.49687029715776443,0.8316,90.04624970909208
11,12,90.45190780004486,0.2548165280832765,0.9139014175257731,0.2900086329318583,0.39534627158641816,0.8639,90.45190780004486
12,13,91.09243031824008,0.23003552171891345,0.9239288015463918,0.2891512638889253,0.3693682753443718,0.8744,91.09243031824008
13,14,90.98851953819394,0.20875001519428776,0.9290834407216495,0.2952147829346359,0.35391506910324094,0.8762,90.98851953819394
14,15,90.82390333898365,0.18613875058921264,0.9383456829896907,0.2971293483860791,0.3188365321755409,0.8914,90.82390333898365
15,16,90.58227290492505,0.15695731981523028,0.9495409149484536,0.28952829306945205,0.32421079711914064,0.8931,90.58227290492505
16,17,90.51800841279328,0.13054827659765317,0.9582997744845361,0.2876584860496223,0.24977724871635437,0.9157,90.51800841279328
17,18,90.99370800983161,0.10312773482922043,0.9685083762886598,0.29577064607292414,0.2298815331697464,0.9242,90.99370800983161
18,19,91.28426534496248,0.07699293035476171,0.9777102126288659,0.29365672590211034,0.20519310885667802,0.9328,91.28426534496248
19,20,91.49972768407315,0.05793311544838026,0.9844756765463918,0.29135751677677035,0.19139769628047942,0.9381,91.49972768407315
