,epoch,train_time,train_loss,train_acc,valid_time,valid_loss,valid_acc,total time
0,1,6.653216859325767,1.602766988357318,0.42628463273195877,0.4655418018810451,1.0843073053359986,0.6076,6.653216859325767
1,2,4.4716341039165854,0.8593594935775456,0.6962387242268041,0.2906403732486069,1.3159951889872552,0.5906,4.4716341039165854
2,3,4.499148649163544,0.6320669936093012,0.7784109213917526,0.2911165007390082,0.654314210665226,0.7732,4.499148649163544
3,4,4.448849662672728,0.5362033305651287,0.8146142074742269,0.2929613282904029,0.6758826141119003,0.763,4.448849662672728
4,5,4.458837506826967,0.46908383665500764,0.8375885953608248,0.29221617011353374,0.5872338965773582,0.7996,4.458837506826967
5,6,4.463975933846086,0.40666767256094394,0.8612677190721649,0.29262929502874613,0.7682726290106774,0.7493,4.463975933846086
6,7,4.457880795001984,0.35960855602152336,0.8775169136597938,0.29100022418424487,0.5256431354403496,0.821,4.457880795001984
7,8,4.461698526982218,0.3204952275678131,0.8930613724226805,0.2922745100222528,0.5643677488684654,0.8092,4.461698526982218
8,9,4.459778757765889,0.2889633326498388,0.9013168492268041,0.2924998472444713,0.3830255779385567,0.872,4.459778757765889
9,10,4.459924404043704,0.2732052390209217,0.9072164948453608,0.29253870621323586,0.4193284249305725,0.8567,4.459924404043704
10,11,4.466946556698531,0.25186566324405296,0.9155726481958762,0.31767347222194076,0.4283436052680016,0.8546,4.466946556698531
11,12,4.478017784189433,0.23149308585561812,0.9224991945876289,0.2942939489148557,0.34044642540216447,0.8857,4.478017784189433
12,13,4.463875142857432,0.20791289334895915,0.9304929123711341,0.2931181970052421,0.3843046387910843,0.8735,4.463875142857432
13,14,4.468612609896809,0.1837472492737753,0.9396544780927835,0.2918872791342437,0.4217030160546303,0.8626,4.468612609896809
14,15,4.584767939057201,0.16254396974493163,0.9462991301546392,0.2910557249560952,0.38746250458955767,0.8734,4.584767939057201
15,16,4.81723096081987,0.13434066462388128,0.9574138208762887,0.2982982830144465,0.3241364223480225,0.8964,4.81723096081987
16,17,4.588385712821037,0.10955290041249438,0.9654478092783505,0.3196997381746769,0.26534840508699414,0.9105,4.588385712821037
17,18,4.571297659073025,0.08050749156883313,0.9769450708762887,0.2929044282063842,0.22836055519580842,0.9248,4.571297659073025
18,19,4.623991905711591,0.05756542180693641,0.9851804123711341,0.2980377748608589,0.22318381704092025,0.9265,4.623991905711591
19,20,4.696473065763712,0.041085554234030625,0.9902545103092784,0.29664408788084984,0.20061023240089418,0.9324,4.696473065763712
