,epoch,train_time,train_loss,train_acc,valid_time,valid_loss,valid_acc,total time
0,1,4.41951970430091,1.5973940460184186,0.42181459407216493,0.2906558779068291,1.1330752774238586,0.5869,4.41951970430091
1,2,4.425672580022365,0.853534608296858,0.6954534471649485,0.29028320172801614,1.127537740457058,0.6204,4.425672580022365
2,3,4.426634298637509,0.6407110974667882,0.7781290270618557,0.291655742097646,1.0470528966069221,0.6798,4.426634298637509
3,4,4.423182558268309,0.5393706455865165,0.8130637886597938,0.2899943869560957,0.641423614013195,0.7736,4.423182558268309
4,5,4.430776997003704,0.4684415881440389,0.8385349548969072,0.29144583782181144,0.5478437156438828,0.8172,4.430776997003704
5,6,4.422207613941282,0.41344348250014573,0.8583078286082474,0.2925522639416158,0.5272499618768692,0.8203,4.422207613941282
6,7,4.426165617071092,0.3560624873606469,0.8782619201030928,0.2902907766401768,0.47804142714738845,0.8378,4.426165617071092
7,8,4.42384126316756,0.32691697265290337,0.8882288981958762,0.29014777578413486,0.43739565337896347,0.8563,4.42384126316756
8,9,4.422698582988232,0.294432753889063,0.9005718427835051,0.2902581891976297,0.4490948022484779,0.8503,4.422698582988232
9,10,4.424353871960193,0.27253148226624296,0.9081829896907216,0.29133398411795497,0.4383153757691383,0.8529,4.424353871960193
10,11,4.421193575952202,0.24721629689111538,0.9169217139175257,0.29179839231073856,0.42235889327526094,0.8527,4.421193575952202
11,12,4.420142722781748,0.232087507097473,0.9230629832474226,0.29002481512725353,0.3794406995654106,0.8715,4.420142722781748
12,13,4.420339742209762,0.21209413475913869,0.9293854703608248,0.29207241209223866,0.377233097243309,0.8754,4.420339742209762
13,14,4.424956012982875,0.18666490991887896,0.9372785115979382,0.30037168180570006,0.3932536291718483,0.8625,4.424956012982875
14,15,4.440761690959334,0.1614340412761709,0.9476481958762887,0.29307997692376375,0.3120483464360237,0.8948,4.440761690959334
15,16,4.424873020965606,0.13335727637912118,0.9577359858247423,0.290586746763438,0.2878607054948807,0.9055,4.424873020965606
16,17,4.428416847251356,0.1081163254758516,0.9663337628865979,0.2913192408159375,0.28244796850681303,0.9075,4.428416847251356
17,18,4.456037788186222,0.0825060861420424,0.9755154639175257,0.29125362168997526,0.23648689584732055,0.9244,4.456037788186222
18,19,4.45404252782464,0.058019077717374586,0.985240818298969,0.29015409806743264,0.21329167934656143,0.9315,4.45404252782464
19,20,4.417667589150369,0.04213991659914249,0.9904558634020618,0.2899883817881346,0.1999103555560112,0.937,4.417667589150369
