,epoch,train_time,train_loss,train_acc,valid_time,valid_loss,valid_acc,total time
0,1,88.34339219983667,1.6184083619683058,0.4110824742268041,0.2926514921709895,1.1608149389266968,0.5888,88.34339219983667
1,2,88.34551348211244,0.889181529066151,0.6845602448453608,0.28757137479260564,1.1039235338449478,0.6416,88.34551348211244
2,3,88.85932959895581,0.66296585778869,0.7697326030927835,0.2882151361554861,0.965439500105381,0.6696,88.85932959895581
3,4,88.09736012388021,0.5477195984549513,0.8131644652061856,0.288020399864763,0.6620404116272927,0.7727,88.09736012388021
4,5,88.54769136570394,0.4917858869231008,0.8301788015463918,0.300010793376714,0.5173475928544998,0.8212,88.54769136570394
5,6,88.15914316568524,0.4281506452339788,0.8546230670103093,0.2924974951893091,0.5110636073589325,0.8278,88.15914316568524
6,7,88.30657446291298,0.37779948229603855,0.8710333440721649,0.29005903005599976,0.5227840123772621,0.8233,88.30657446291298
7,8,88.3437857599929,0.33772568892178695,0.8862757731958762,0.2969199870713055,0.4964618580341339,0.831,88.3437857599929
8,9,88.0617316677235,0.3111111608756341,0.895397068298969,0.3021567133255303,0.42243468260765077,0.8605,88.0617316677235
9,10,88.52072397433221,0.29021091443803354,0.9015383376288659,0.29437279095873237,0.442420306122303,0.8481,88.52072397433221
10,11,88.61296937102452,0.26793836378588426,0.9103576030927835,0.2864332878962159,0.6023612377405166,0.801,88.61296937102452
11,12,88.61137530906126,0.24499299578829525,0.9180895618556701,0.2952448511496186,0.4036765998482704,0.8627,88.61137530906126
12,13,87.76008495502174,0.22539659922692887,0.924915431701031,0.29016983788460493,0.36781112003326416,0.8741,87.76008495502174
13,14,88.40087382588536,0.19859145345531173,0.9340971327319587,0.2927075531333685,0.3377043268799782,0.8871,88.40087382588536
14,15,88.3114126236178,0.17635279322599934,0.9428358569587629,0.2900285511277616,0.28795696856975556,0.9022,88.3114126236178
15,16,88.53698298800737,0.14618427067102155,0.9530041881443299,0.29715269478037953,0.27875229949951175,0.9076,88.53698298800737
16,17,88.38344768527895,0.12140766859832268,0.9613603414948454,0.2905870438553393,0.2927994371652603,0.9052,88.38344768527895
17,18,87.81420284416527,0.09533734409829851,0.971568943298969,0.2959073889069259,0.25120989583730696,0.9192,87.81420284416527
18,19,88.44672475103289,0.06977152358260505,0.9805694265463918,0.29666165029630065,0.20733701779842376,0.9316,88.44672475103289
19,20,88.48084859270602,0.051368360311637835,0.9875161082474226,0.2991794543340802,0.19009826835393906,0.9343,88.48084859270602
